MOLREGNO,SMILES,MOST_ACIDIC,MOST_BASIC,TRADE_NAME,CHARGE_STATE,Name,CX_Acidic_1,CX_Acidic_2,CX_Basic_1,CX_Basic_2,Delta Acidic,Delta Basic,N_Count,O_Count,Organic
264400,CC(S)C(=O)NCC(=O)O,3.36,,TIOPRONIN,Charged,264400,3.86,,,,-0.5,,1.0,3.0,True
264453,CC(C(=O)O)c1ccc2c(c1)[nH]c3ccc(Cl)cc23,4.84,,RIMADYL,Charged,264453,4.42,,,,0.42,,1.0,2.0,True
267825,Cc1ccc(cc1)C(=O)c2cc(O)c(O)c(c2)[N+](=O)[O-],4.78,,TASMAR,Charged,267825,5.44,,,,-0.66,,1.0,5.0,True
270724,CCN(CC)CCCC(C)Nc1ccnc2cc(Cl)ccc12.OP(=O)(O)O,,10.47,ARALEN,Charged,270724,,,10.32,7.29,,0.15,3.0,4.0,True
271725,CSCC[C@H](NC(=O)[C@H](Cc1c[nH]c2ccccc12)NC(=O)CCNC(=O)OC(C)(C)C)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@@H](Cc3ccccc3)C(=O)N,4.19,,PEPTAVLON,Charged,271725,4.0,,,,0.19,,7.0,9.0,True
281549,[O-][N+](=O)c1cc(ccc1C(=O)C2C(=O)CCCC2=O)C(F)(F)F,3.14,,ORFADIN,Charged,281549,2.66,,,,0.48,,1.0,5.0,True
283529,Cl.CCCc1nc(C)c2c(O)nc(nn12)c3cc(ccc3OCC)S(=O)(=O)N4CCN(CC)CC4,,7.13,LEVITRA,Neutral,283529,,,,,,,6.0,4.0,True
289505,NC(=N)NCCN1CCCCCCC1.OS(=O)(=O)O,,13.36,ESIMIL,Charged,289505,,,12.23,8.48,,1.13,4.0,4.0,True
293438,CCCCCCCCCCC[C@@H](C[C@@H]1OC(=O)[C@H]1CCCCCC)OC(=O)[C@H](CC(C)C)NC=O,,,ALLI,Neutral,293438,,,,,,,1.0,5.0,True
304381,[Na+].OC(=O)[O-],,,BAROS,Neutral,304381,6.05,,,,,,0.0,3.0,True
304383,[Na+].CC(=O)[O-],,,ACETATED RINGER'S IN PLASTIC CONTAINER,Neutral,304383,4.54,,,,,,0.0,2.0,True
304390,[Na+].[Na+].[Na+].OC(CC(=O)[O-])(CC(=O)[O-])C(=O)[O-],,,ADSOL WITH ACD-A,Neutral,304390,3.05,4.67,,,,,0.0,7.0,True
304398,[Na+].[O-]C(=O)c1ccccc1,,,AMMONUL,Neutral,304398,4.08,,,,,,0.0,2.0,True
304417,[Na+].CC(O)C(=O)[O-],,,DELFLEX W/ DEXTROSE 1.5% IN PLASTIC CONTAINER,Neutral,304417,3.78,,,,,,0.0,3.0,True
304798,C[C@]12CC[C@H]3[C@@H]([C@H](CCCCCCCCC[S+]([O-])CCCC(F)(F)C(F)(F)F)Cc4cc(O)ccc34)[C@@H]1CC[C@@H]2O,-4.75,,FASLODEX,Charged,304798,,,,,,,0.0,3.0,True
305519,CC1(C)S[C@@H]2[C@H](NC(=O)[C@H](N)c3ccccc3)C(=O)N2[C@H]1C(=O)O,2.44,6.81,AMCILL,Charged,305519,3.24,,7.44,,-0.8,-0.63,3.0,4.0,True
308201,Cc1ncc(CO)c(CO)c1O,9.63,5.01,CERNEVIT-12,Neutral,308201,,,,,,,1.0,3.0,True
311242,[Na+].OP(=O)(O)[O-],,,IONOSOL B AND DEXTROSE 5% IN PLASTIC CONTAINER,Neutral,311242,1.8,6.95,,,,,0.0,4.0,False
311503,[Na+].[Na+].[O-]C(=O)[O-],,,IRRIGATING SOLUTION G IN PLASTIC CONTAINER,Neutral,311503,6.05,,,,,,0.0,3.0,True
313314,CCCC1O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@@]2(O1)C(=O)CO,12.87,,BUDESONIDE,Neutral,313314,,,,,,,0.0,6.0,True
314132,NC(=N)c1ccc(OCCCCCOc2ccc(cc2)C(=N)N)cc1.OCCS(=O)(=O)O.OCCS(=O)(=O)O,,12.5,NEBUPENT,Charged,314132,,,12.13,11.53,,0.37,4.0,10.0,True
315123,Clc1ccc2OC(=O)Nc2c1,8.46,,CHLORZOXAZONE,Neutral,315123,,,,,,,1.0,2.0,True
316787,N[C@@H](CCC(=O)N[C@@H](CSSC[C@H](NC(=O)CC[C@H](N)C(=O)O)C(=O)NCC(=O)O)C(=O)NCC(=O)O)C(=O)O,1.91,9.59,BSS PLUS,Charged,316787,1.44,2.03,9.61,9.01,0.47,-0.02,6.0,12.0,True
317124,NC(=O)C[S+]([O-])C(c1ccccc1)c2ccccc2,-7.19,,MODAFINIL,Charged,317124,,,,,,,1.0,2.0,True
321696,FC(F)Oc1ccc(cc1OCC2CC2)C(=O)Nc3c(Cl)cncc3Cl,9.89,0.41,DALIRESP,Neutral,321696,,,,,,,2.0,3.0,True
328153,C[C@]12CC[C@H]3[C@@H](CCC4=C3CCC(=O)C4)[C@@H]1CC[C@@]2(O)C#C,13.1,,ENOVID,Neutral,328153,,,,,,,0.0,2.0,True
328158,Oc1ccc(OCc2ccccc2)cc1,10.29,,BENOQUIN,Neutral,328158,,,,,,,0.0,2.0,True
328164,CC[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@H]34)[C@@H]1CC[C@@]2(O)C#C,13.09,,ALESSE,Neutral,328164,,,,,,,0.0,2.0,True
328201,CC(=O)S[C@@H]1CC2=CC(=O)CC[C@]2(C)[C@H]3CC[C@@]4(C)[C@@H](CC[C@@]45CCC(=O)O5)[C@H]13,,,ALDACTAZIDE,Neutral,328201,,,,,,,0.0,4.0,True
328400,C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@H]3CC[C@]12C,,,ANDROID 10,Neutral,328400,,,,,,,0.0,2.0,True
328601,Clc1ccc(s1)C(=O)NC[C@H]2CN(C(=O)O2)c3ccc(cc3)N4CCOCC4=O,13.36,1.01,XARELTO,Neutral,328601,,,,,,,3.0,5.0,True
334337,CC[C@@H]([C@H](C)O)N1N=CN(C1=O)c2ccc(cc2)N3CCN(CC3)c4ccc(OC[C@@H]5CO[C@](Cn6cncn6)(C5)c7ccc(F)cc7F)cc4,,6.51,NOXAFIL,Neutral,334337,,,,,,,8.0,4.0,True
337366,CC(C)(C#N)c1cc(Cn2cncn2)cc(c1)C(C)(C)C#N,,2.62,ANASTROZOLE,Neutral,337366,,,,,,,5.0,0.0,True
338934,CC(=O)Oc1ccccc1C(=O)Nc2ncc(s2)[N+](=O)[O-],6.18,,ALINIA,Neutral,338934,,,,,,,3.0,5.0,True
340684,COc1cc2N(C=C(C(=O)O)C(=O)c2cc1Cc3cccc(Cl)c3F)[C@H](CO)C(C)C,0.44,,STRIBILD,Charged,340684,6.16,,,,-5.72,,1.0,5.0,True
341382,COc1ccccc1OCC(O)CN2CCN(CC(=O)Nc3c(C)cccc3C)CC2,,6.54,RANEXA,Neutral,341382,,,7.17,,,-0.63,3.0,4.0,True
342897,C[C@]12CC[C@H]3[C@@H](CCc4cc(O)ccc34)[C@@H]1CCC2=O,10.25,,ESTROGENIC SUBSTANCE,Neutral,342897,,,,,,,0.0,2.0,True
345595,COCCCCC(=N/OCCN)c1ccc(cc1)C(F)(F)F.OC(=O)C=C/C(=O)O,,9.39,FLUVOXAMINE MALEATE,Charged,345595,,,9.16,,,0.23,2.0,6.0,True
345872,CCCCCCCCCc1ccc(OCCOCCOCCOCCOCCOCCOCCOCCOCCO)cc1,,,DELFEN,Neutral,345872,,,,,,,0.0,10.0,True
353011,CC1=CC(=O)N(O)C(=C1)C2CCCCC2,6.25,,CICLOPIROX,Neutral,353011,6.84,,,,-0.59,,1.0,2.0,True
353902,COS(=O)(=O)[O-].CN(C)C(=O)Oc1cccc(c1)[N+](C)(C)C,,,BLOXIVERZ,Neutral,353902,,,,,,,2.0,6.0,True
355897,CCN(C)C(=O)Oc1cccc(c1)[C@H](C)N(C)C.OC(C(O)C(=O)O)C(=O)O,,8.62,EXELON,Charged,355897,,,8.89,,,-0.27,2.0,8.0,True
355917,CC[C@]1(O)C[C@@H]2CN(CCc3c([nH]c4ccccc34)[C@@](C2)(C(=O)OC)c5cc6c(cc5OC)N(C)[C@H]7[C@](O)([C@H](OC(=O)C)[C@]8(CC)C=CCN9CC[C@]67[C@H]89)C(=O)OC)C1.OS(=O)(=O)O,11.36,7.9,VELBAN,Neutral,355917,,,8.86,8.26,,-0.96,4.0,13.0,True
360720,CC(C)(C)NC(=O)N[C@H](C(=O)N1C[C@H]2[C@@H]([C@H]1C(=O)NC(CC3CCC3)C(=O)C(=O)N)C2(C)C)C(C)(C)C,12.82,,VICTRELIS,Neutral,360720,,,,,,,5.0,5.0,True
361469,Cc1nc(Nc2ncc(s2)C(=O)Nc3c(C)cccc3Cl)cc(n1)N4CCN(CCO)CC4,10.94,7.29,SPRYCEL,Neutral,361469,,,7.22,,,0.07,7.0,2.0,True
364141,Fc1ccc(cc1)C(CCCN2CCC(CC2)N3C(=O)Nc4ccccc34)c5ccc(F)cc5,12.05,9.26,ORAP,Charged,364141,,,8.38,,,0.88,3.0,1.0,True
364520,C[C@]12CC[C@H]3[C@@H](CCC4=CC(=O)CC[C@]34C)[C@@H]1CC[C@@H]2O,,,ANDRODERM,Neutral,364520,,,,,,,0.0,2.0,True
364859,CC1=NS(=O)(=O)c2cc(Cl)ccc2N1,8.99,,DIAZOXIDE,Neutral,364859,,,,,,,2.0,2.0,True
365189,CO[C@H]1C=CO[C@@]2(C)Oc3c(C)c(O)c4c(O)c(NC(=O)C(=C/C=C/[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(=O)C)[C@@H]1C)C)c(C=NN5CCN(C)CC5)c(O)c4c3C2=O,4.96,7.3,RIFADIN,Charged,365189,6.9,,7.53,,-1.94,-0.23,4.0,12.0,True
365248,COCCOC(=O)C1=C(C)NC(=C(C1c2cccc(c2)[N+](=O)[O-])C(=O)OC(C)C)C,,2.77,NIMODIPINE,Neutral,365248,,,,,,,2.0,7.0,True
365281,C[C@@H]1C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]2(C)[C@@]1(O)C(=O)CO,12.13,,AEROSEB-DEX,Neutral,365281,,,,,,,0.0,5.0,True
365284,NC1=Nc2c(ncn2COC(CO)CO)C(=O)N1,9.33,2.53,CYTOVENE,Neutral,365284,,,,,,,5.0,4.0,True
365538,NC1=Nc2c(ncn2COCCO)C(=O)N1,9.35,2.55,ACYCLOVIR,Neutral,365538,,,,,,,5.0,3.0,True
366271,CC1=CN([C@@H]2C[C@@H](O)[C@H](CO)O2)C(=O)NC1=O,9.55,,TYZEKA,Neutral,366271,,,,,,,2.0,5.0,True
366278,CCN[C@H]1CN(CCCOC)S(=O)(=O)c2sc(cc12)S(=O)(=O)N,9.62,6.78,AZOPT,Neutral,366278,,,,,,,3.0,5.0,True
366279,CC1(C)O[C@@H]2CO[C@@]3(COS(=O)(=O)N)OC(C)(C)O[C@H]3[C@@H]2O1,9.22,,QSYMIA,Neutral,366279,,,,,,,1.0,8.0,True
368538,FC1=CNC(=O)NC1=O,6.73,,ADRUCIL,Neutral,368538,,,,,,,2.0,2.0,True
369179,CC(C)(S)[C@@H](N)C(=O)O,2.13,11.64,CUPRIMINE,Charged,369179,2.56,,9.09,,-0.43,2.55,1.0,2.0,True
372438,CCC[C@@]1(CCc2ccccc2)CC(=C([C@H](CC)c3cccc(NS(=O)(=O)c4ccc(cn4)C(F)(F)F)c3)C(=O)O1)O,4.5,,APTIVUS,Charged,372438,4.43,5.98,,,0.07,,2.0,5.0,True
373806,CC(=O)N[C@H]1[C@@H](OC(=C[C@@H]1N=C(N)N)C(=O)O)[C@H](O)[C@H](O)CO,3.34,10.86,RELENZA,Charged,373806,3.25,,11.93,,0.09,-1.07,4.0,7.0,True
373856,[Na+].C[C@]1(Cn2ccnn2)[C@@H](N3[C@@H](CC3=O)S1(=O)=O)C(=O)[O-],2.33,0.85,PIPERACILLIN AND TAZOBACTAM,Charged,373856,2.86,,,,-0.53,,4.0,5.0,True
373970,CN(C)[C@H]1[C@@H]2C[C@@H]3Cc4c(cc(NC(=O)CNC(C)(C)C)c(O)c4C(=O)C3=C(O)[C@]2(O)C(=O)C(=C1O)C(=O)N)N(C)C,4.5,11.05,TYGACIL,Charged,373970,2.84,,8.24,7.66,1.66,2.81,5.0,8.0,True
373985,CN(C)[C@H]1[C@@H]2C[C@H]3C(=C(O)[C@]2(O)C(=O)C(=C1O)C(=O)N)C(=O)c4c(O)cccc4[C@@]3(C)O,4.5,11.02,PYLERA,Charged,373985,2.92,,8.19,,1.58,2.83,2.0,8.0,True
374005,CCc1cc(ccn1)C(=S)N,12.14,4.34,TRECATOR,Neutral,374005,,,,,,,2.0,0.0,True
374037,CCCCCCCCCC(=O)N[C@@H](Cc1c[nH]c2ccccc12)C(=O)N[C@@H](CC(=O)N)C(=O)N[C@@H](CC(=O)O)C(=O)N[C@H]3[C@@H](C)OC(=O)[C@H](CC(=O)c4ccccc4N)NC(=O)[C@@H](NC(=O)[C@@H](CO)NC(=O)CNC(=O)[C@H](CC(=O)O)NC(=O)[C@@H](C)NC(=O)[C@H](CC(=O)O)NC(=O)[C@H](CCCN)NC(=O)CNC3=O)[C@H](C)CC(=O)O,,,CUBICIN,Neutral,374037,2.98,3.41,9.59,,,,17.0,26.0,True
374052,C[C@]12CCC(=O)C=C1CC[C@H]3[C@@H]4CC[C@](O)(C(=O)CO)[C@@]4(C)C[C@H](O)[C@H]23,12.47,,ACETASOL HC,Neutral,374052,,,,,,,0.0,5.0,True
374548,N#Cc1ccc(cc1)C(c2ccc(cc2)C#N)n3cncn3,,1.52,FEMARA,Neutral,374548,,,,,,,5.0,0.0,True
374719,FC(F)(F)[C@]1(OC(=O)Nc2ccc(Cl)cc12)C#CC3CC3,10.24,,ATRIPLA,Neutral,374719,,,,,,,1.0,2.0,True
377715,CN1C(=O)C=C(N2CCC[C@@H](N)C2)N(Cc3ccccc3C#N)C1=O.OC(=O)c4ccccc4,,9.89,KAZANO,Charged,377715,,,9.47,,,0.42,5.0,4.0,True
377718,C[C@]1(O)CC[C@H]2[C@@H]3CCC4=CC(=O)CC[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]12C,13.4,,ANDROID-F,Neutral,377718,,,,,,,0.0,3.0,True
378218,Oc1ccc(Cl)cc1C(=O)Nc2ccc(cc2Cl)[N+](=O)[O-],7.45,,NICLOCIDE,Neutral,378218,6.89,,,,0.56,,2.0,4.0,True
378315,OC1=C([C@@H]2CC[C@H](CC2)c3ccc(Cl)cc3)C(=O)c4ccccc4C1=O,5.01,,ATOVAQUONE AND PROGUANIL HYDROCHLORIDE,Charged,378315,5.73,,,,-0.72,,0.0,3.0,True
381643,C[C@@H]1OC(=O)C[C@H](O)C[C@H](O)C[C@H](O)CC[C@@H](O)[C@H](O)C[C@]2(O)C[C@H](O)[C@H]([C@H](C[C@@H](O[C@H]3O[C@@H](C)[C@H](O)[C@@H](N)[C@H]3O)C=CC=CC=CC=CCCC=CC=C[C@H](C)[C@@H](O)[C@H]1C)O2)C(=O)O,3.72,8.12,BARSTATIN 100,Charged,381643,3.61,,9.11,,0.11,-0.99,1.0,17.0,True
381691,C[C@]12C[C@H](O)[C@@]3(F)[C@@H](CCC4=CC(=O)C=C[C@]34C)[C@@H]1C[C@@H](O)[C@]2(O)C(=O)CO,11.57,,ARISTOCORT,Neutral,381691,,,,,,,0.0,6.0,True
381693,CN1C(=O)N(C)c2nc[nH]c2C1=O,8.6,1.84,ACCURBRON,Neutral,381693,,,,,,,4.0,2.0,True
386327,CN(C)c1nc(nc(n1)N(C)C)N(C)C,,6.81,HEXALEN,Neutral,386327,,,7.75,,,-0.94,6.0,0.0,True
386457,COc1c(C)c2COC(=O)c2c(O)c1CC=C(/C)CCC(=O)OCCN3CCOCC3,9.87,6.0,CELLCEPT,Neutral,386457,,,,,,,1.0,7.0,True
390877,OC[C@@H]1CC[C@@H](O1)n2cnc3C(=O)NC=Nc23,8.92,1.58,DIDANOSINE,Neutral,390877,,,,,,,4.0,3.0,True
393942,NC1=C(F)C=NC(=O)N1,7.12,2.9,ANCOBON,Neutral,393942,,,,,,,3.0,1.0,True
394229,CCC(C1=C(O)c2ccccc2OC1=O)c3ccccc3,4.5,,LIQUAMAR,Charged,394229,5.67,,,,-1.17,,0.0,3.0,True
394231,OC1=C(CC2=C(O)c3ccccc3OC2=O)C(=O)Oc4ccccc14,4.2,,DICUMAROL,Charged,394231,4.85,5.6,,,-0.65,,0.0,6.0,True
394539,[Na+].[Na+].[O-]S(=O)(=O)[O-],,,ASCORBIC ACID; POLYETHYLENE GLYCOL 3350; POTASSIUM CHLORIDE; SODIUM ASCORBATE; SODIUM CHLORIDE; SODIUM SULFATE,Neutral,394539,-3.03,1.9,,,,,0.0,4.0,False
395607,O=C1N=CN=C2NNC=C12,,4.56,ALLOPURINOL,Neutral,395607,,,,,,,4.0,1.0,True
397074,CO[C@H]1C=CO[C@@]2(C)Oc3c(C)c(O)c4C(=O)C(=C5NC6(CCN(CC(C)C)CC6)N=C5c4c3C2=O)NC(=O)C(=C/C=C/[C@H](C)[C@H](O)[C@@H](C)[C@@H](O)[C@@H](C)[C@H](OC(=O)C)[C@@H]1C)C,3.31,9.5,MYCOBUTIN,Charged,397074,6.92,,8.43,,-3.61,1.07,4.0,11.0,True
397524,COc1ccc(cc1)n2nc(C(=O)N)c3CCN(C(=O)c23)c4ccc(cc4)N5CCCCC5=O,,0.81,ELIQUIS,Neutral,397524,,,,,,,5.0,4.0,True
399361,C[C@@H](O[C@H]1OCCN(CC2=NNC(=O)N2)[C@H]1c3ccc(F)cc3)c4cc(cc(c4)C(F)(F)F)C(F)(F)F,8.06,4.38,APREPITANT,Neutral,399361,,,,,,,4.0,3.0,True
399873,CC#CCn1c(nc2N(C)C(=O)N(Cc3nc(C)c4ccccc4n3)C(=O)c12)N5CCC[C@@H](N)C5,,10.01,JENTADUETO,Charged,399873,,,9.86,,,0.15,8.0,2.0,True
401141,CCC(=O)O[C@@]1([C@H](C)C[C@H]2[C@@H]3C[C@H](F)C4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]12C)C(=O)SCF,12.53,,ADVAIR DISKUS 100/50,Neutral,401141,,,,,,,0.0,5.0,True
402531,CC1=CC(=O)Oc2c(C)c3oc(C)cc3cc12,,,TRISORALEN,Neutral,402531,,,,,,,0.0,3.0,True
404691,C[C@H](CCC(=O)O)[C@H]1CC[C@H]2[C@@H]3[C@H](O)C[C@@H]4C[C@H](O)CC[C@]4(C)[C@H]3CC[C@]12C,4.76,,CHENIX,Charged,404691,4.6,,,,0.16,,0.0,4.0,True
405364,C[C@]12Cc3cnoc3C=C1CC[C@@H]4[C@@H]2CC[C@@]5(C)[C@H]4CC[C@@]5(O)C#C,13.1,,DANAZOL,Neutral,405364,,,,,,,1.0,2.0,True
405365,CCOC(=O)C1=C(C)NC(=C(C1c2cccc(Cl)c2Cl)C(=O)OC)C,,2.73,FELODIPINE,Neutral,405365,,,,,,,1.0,4.0,True
405366,CCC1=C(C)CN(C(=O)NCCc2ccc(cc2)S(=O)(=O)NC(=O)N[C@@H]3CC[C@@H](C)CC3)C1=O,5.1,,AMARYL,Charged,405366,4.32,,,,0.78,,4.0,5.0,True
406787,CCCSc1ccc2nc(NC(=O)OC)[nH]c2c1,10.72,5.37,ALBENZA,Neutral,406787,,,,,,,3.0,2.0,True
407354,[Ca+2].CC(C)c1c(C(=O)Nc2ccccc2)c(c3ccccc3)c(c4ccc(F)cc4)n1CC[C@@H](O)C[C@@H](O)CC(=O)[O-].CC(C)c5c(C(=O)Nc6ccccc6)c(c7ccccc7)c(c8ccc(F)cc8)n5CC[C@@H](O)C[C@@H](O)CC(=O)[O-],4.29,0.39,ATORVASTATIN CALCIUM,Charged,407354,4.33,,,,-0.04,,4.0,10.0,True
416772,CCCSc1nc(N[C@@H]2C[C@H]2c3ccc(F)c(F)c3)c4nnn([C@@H]5C[C@H](OCCO)[C@@H](O)[C@H]5O)c4n1,13.26,3.05,BRILINTA,Neutral,416772,,,,,,,6.0,4.0,True
417163,CC(C)OC(=O)OCOP(=O)(CO[C@H](C)Cn1cnc2c(N)ncnc12)OCOC(=O)OC(C)C.OC(=O)C=CC(=O)O,,4.2,ATRIPLA,Neutral,417163,,,,,,,5.0,14.0,True
418344,ClCCN(CCCl)C1=CNC(=O)NC1=O,9.42,,URACIL MUSTARD,Neutral,418344,,,,,,,3.0,2.0,True
418401,NC1=NC(=O)N(C=N1)[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O,13.46,3.29,VIDAZA,Neutral,418401,,,,,,,4.0,5.0,True
418414,CCOC(=O)C1=C(COCCN)NC(=C(C1c2ccccc2Cl)C(=O)OC)C,,8.97,"AMLODIPINE,VALSARTAN AND HYDROCHLOROTHIAZIDE",Charged,418414,,,9.45,,,-0.48,2.0,5.0,True
419410,CCCCC(=O)O[C@@]1([C@@H](C)C[C@H]2[C@@H]3CCC4=CC(=O)C=C[C@]4(C)[C@@]3(F)[C@@H](O)C[C@]12C)C(=O)CO,12.9,,BETA-VAL,Neutral,419410,,,,,,,0.0,6.0,True
419508,C[C@H]1O[C@H](C[C@H](O)[C@@H]1O)O[C@H]2[C@@H](O)C[C@H](O[C@H]3[C@@H](O)C[C@H](O[C@H]4CC[C@@]5(C)[C@H](CC[C@@H]6[C@@H]5CC[C@]7(C)[C@H](CC[C@]67O)C8=CC(=O)OC8)C4)O[C@@H]3C)O[C@@H]2C,13.5,,CRYSTODIGIN,Neutral,419508,,,,,,,0.0,13.0,True
419542,CC(=O)OCC(=O)[C@@]12OC(C)(C)O[C@@H]1C[C@H]3[C@@H]4C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]23C,12.77,,FLUOCINONIDE,Neutral,419542,,,,,,,0.0,7.0,True
419596,COC(=O)C1=C(C)NC(=C(C1c2ccccc2[N+](=O)[O-])C(=O)OC)C,,2.69,ADALAT,Neutral,419596,,,,,,,2.0,6.0,True
419601,COc1ccc2[nH]c(nc2c1)[S+]([O-])Cc3ncc(C)c(OC)c3C,6.86,3.08,MAGNESIUM HYDROXIDE AND OMEPRAZOLE AND SODIUM BICARBONATE,Neutral,419601,,,,,,,3.0,3.0,True
419622,CC1(C)O[C@@H]2C[C@H]3[C@@H]4CCC5=CC(=O)C=C[C@]5(C)[C@@]4(F)[C@@H](O)C[C@]3(C)[C@@]2(O1)C(=O)CO,12.87,,ALLERNAZE,Neutral,419622,,,,,,,0.0,6.0,True
420999,CCCCCCCCCCCCCCCC(=O)OC[C@@H](NC(=O)C(Cl)Cl)[C@H](O)c1ccc(cc1)[N+](=O)[O-],10.69,,CHLOROMYCETIN PALMITATE,Neutral,420999,,,,,,,2.0,6.0,True
421032,C[C@]12CCC(=O)C=C1[C@@H]3C[C@@H]3[C@@H]4[C@@H]2CC[C@@]5(C)[C@H]4[C@@H]6C[C@@H]6[C@@]57CCC(=O)O7,,,ANGELIQ,Neutral,421032,,,,,,,0.0,3.0,True
421038,CCCCC(=O)O[C@H]1CC[C@H]2[C@@H]3CCc4cc(O)ccc4[C@H]3CC[C@]12C,10.25,,DELESTROGEN,Neutral,421038,,,,,,,0.0,3.0,True
421058,CC1(C)O[C@@H]2C[C@H]3[C@@H]4C[C@H](F)C5=CC(=O)C=C[C@]5(C)[C@H]4[C@@H](O)C[C@]3(C)[C@@]2(O1)C(=O)CO,12.87,,AEROBID,Neutral,421058,,,,,,,0.0,6.0,True
421066,CCCCC1=NC2(CCCC2)C(=O)N1Cc3ccc(cc3)c4ccccc4c5nn[nH]n5,4.24,2.52,AVALIDE,Charged,421066,,,,,,,6.0,1.0,True
421089,CN1C=CNC1=S,12.37,,METHIMAZOLE,Neutral,421089,,,,,,,2.0,0.0,True
421157,CN(C)[C@H]1[C@@H]2[C@@H](O)[C@H]3C(=C(O)[C@]2(O)C(=O)C(=C1O)C(=O)N)C(=O)c4c(O)cccc4[C@@]3(C)O,4.5,10.8,TERRAMYCIN,Charged,421157,2.84,,7.41,,1.66,3.39,2.0,9.0,True
421208,CCCC1=CC(=O)NC(=S)N1,7.63,,PROPYLTHIOURACIL,Neutral,421208,,,,,,,2.0,1.0,True
421317,CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N2[C@H]3CCCC[C@@H]3C[C@H]2C(=O)O,3.15,5.44,MAVIK,Charged,421317,3.8,,,,-0.65,,2.0,5.0,True
421332,CCN(C(=O)C)c1cccc(c1)c2ccnc3c(cnn23)C#N,,,SONATA,Neutral,421332,,,,,,,5.0,1.0,True
421334,CN1CCN(CC1)C(=O)O[C@@H]2N(C(=O)c3nccnc23)c4ccc(Cl)cn4,,6.7,ESZOPICLONE,Neutral,421334,,,,,,,6.0,3.0,True
421902,CC1(C)C(C=C(Cl)Cl)C1C(=O)OCc2cccc(Oc3ccccc3)c2,,,ELIMITE,Neutral,421902,,,,,,,0.0,3.0,True
425650,CC(C)C1CCC(C)CC1O,,,SALONPAS,Neutral,425650,,,,,,,0.0,1.0,True
426045,[F-].[Na+],,,COLGATE TOTAL,Neutral,426045,3.17,,,,,,0.0,0.0,False
426067,Cl.OC(CCCN1CCCCC1)(c2ccccc2)c3ccccc3,13.54,9.74,VONTROL,Charged,426067,,,9.23,,,0.51,1.0,1.0,True
427328,[Br-].C[N+]1(C)[C@@H]2C[C@@H](C[C@@H]1[C@H]3O[C@@H]23)OC(=O)C(O)(c4cccs4)c5cccs5,10.27,,SPIRIVA,Neutral,427328,,,,,,,1.0,4.0,True
428747,CC[C@]12CC(=C)[C@H]3[C@@H](CCC4=CC(=O)CC[C@H]34)[C@@H]1CC[C@@]2(O)C#C,13.04,,IMPLANON,Neutral,428747,,,,,,,0.0,2.0,True
428791,CCC1NC(=O)c2cc(c(Cl)cc2N1)S(=O)(=O)N,9.98,,HYDROMOX,Neutral,428791,,,,,,,3.0,3.0,True
429174,CC[C@]12CC(=C)[C@H]3[C@@H](CCC4=CCCC[C@H]34)[C@@H]1CC[C@@]2(O)C#C,13.07,,CYCLESSA,Neutral,429174,,,,,,,0.0,1.0,True
429204,Cc1cc2N=C3C(=O)NC(=O)N=C3N(C[C@H](O)[C@H](O)[C@H](O)CO)c2cc1C,9.89,,CERNEVIT-12,Neutral,429204,6.97,,,,2.92,,4.0,6.0,True
430124,CC(C)[C@@H](C)C=C[C@@H](C)[C@H]1CC[C@H]2C(=CC=C/3C[C@@H](O)CCC3=C)CCC[C@]12C,,,BEROCCA PN,Neutral,430124,,,,,,,0.0,1.0,True
430250,CN(C)[C@H]1[C@@H]2[C@@H](O)[C@@H]3C(=C)c4c(Cl)ccc(O)c4C(=O)C3=C(O)[C@]2(O)C(=O)C(=C1O)C(=O)N.OC(=O)c5cc(ccc5O)S(=O)(=O)O,,,MECLAN,Neutral,430250,2.61,,7.76,,,,2.0,14.0,True
430546,COc1ncnc(NS(=O)(=O)c2ccc(N)cc2)c1OC,6.16,2.18,FANSIDAR,Neutral,430546,6.12,,,,0.04,,4.0,4.0,True
430642,Nc1nc(cs1)C(=NOCC(=O)O)C(=O)N[C@H]2[C@H]3SCC(=C(N3C2=O)C(=O)O)C=C,2.8,1.42,SUPRAX,Charged,430642,3.45,4.29,,,-0.65,,5.0,7.0,True
431141,Cn1cnc(c1Sc2ncnc3[nH]cnc23)N(=O)=O,8.37,1.39,AZASAN,Neutral,431141,,,,,,,7.0,2.0,True
